ID ; Возраст ; Тип игры ; Название игры ; Проблема поведения ; Цель ; Краткое описание ; Пошаговая инструкция ; Формат ; Вопросы для обсуждения ; Роль взрослого / как себя вести ; Подготовка / условия для игры ; Источник ; Автор / организация ; Год ;Риски/ограничения;;;
11; 2–5 лет ; Эмоциональная, коммуникативная ; Мячик эмоций ; Научить ребенка замечать и называть свои и чужие эмоции ; Ребенок ловит мяч и называет эмоцию или ситуацию, когда он так чувствует ; 1. Встаньте в круг или напротив ребенка. 2. Скажите: «Сейчас мы играем в мячик эмоций». 3. Бросайте мяч и произносите: «Я радуюсь, когда…», «Я злюсь, когда…», «Мне грустно, когда…». 4. Поймав мяч, ребенок продолжает фразу. 5. Можно менять эмоции и добавлять свои варианты. ; Родитель–ребенок, группа ; «Какую эмоцию легче всего назвать?», «О какой было сложнее говорить?», «Когда ты радовался/злился последний раз?» ;" Поддерживать любой ответ, не спорить («ты не должен злиться на это»), благодарить за откровенность; самому делиться примерами, чтобы ребенок видел, что взрослый тоже живой. ";" Лучше играть в относительно спокойной обстановке; подготовить мягкий мяч; заранее сказать, что в этой игре «можно говорить разное, и это нормально». "; Игры с мячом для понимания своих и чужих эмоций (адаптация формата «Я радуюсь, когда…») ; Психологи и педагоги ДОУ (обобщенные практики) ; 2020–2024 ; Подборки игр для развития эмоциональной сферы[web:63][web:65];Сохраняйте лёгкость: не задавайте серьёзных вопросов, играйте как в весёлую историю и не добивайтесь «правильных» ответов;;;
12; 2–5 лет ; Эмоциональная, когнитивная ; Эмоциональные смайлики ; Помочь ребенку соотносить выражения лица с названием эмоций ; Ребенок рассматривает картинки/смайлики и учится узнавать эмоции по мимике ; 1. Подготовьте карточки со смайликами (радость, грусть, злость, страх, удивление). 2. Покажите по одной и спросите: «Какое это чувство? Как догадался?» 3. Попросите изобразить это чувство лицом. 4. Обсудите, когда он так себя чувствует. ; Родитель–ребенок, группа ; «Когда тебе радостно/грустно/страшно/злосно?», «Что помогает, когда грустно или страшно?» ;" Не исправлять резко («нет, это не злость»); если ребёнок путает — мягко подсказывать («Посмотри, у этого улыбается ротик, что это может быть?»); не высмеивать гримасы. ";" Подготовить простые картинки или распечатанные смайлики; лучше сидя за столом; объяснить, что это игра про «лица и чувства». "; Игры с карточками эмоций («Угадай эмоцию», «Зеркало») — адаптация ; Педагоги?психологи, статьи об EQ у дошкольников ; 2020–2025 ; Подборки игр с эмоциями у дошкольников[web:26][web:65];"Поддерживайте любые варианты ребёнка, даже если они вам кажутся странными; главное тут — совместное время, а не результат";;;
13; 2–5 лет ; Сенсорная ; Сюрприз в крупе ; Развивать осязание, мелкую моторику и радость от поиска без экрана ; Ребенок ищет «сюрпризы» руками в контейнере с крупой или другими наполнителями ; 1. Насыпьте в таз/контейнер крупу (манка, рис, фасоль). 2. Спрячьте в ней небольшие игрушки, фигурки, формы. 3. Предложите ребенку искать сюрпризы руками. 4. Когда находит — назвать предмет и его свойства (твердый, мягкий, круглый). ; Родитель–ребенок, группа ; «Что было находить приятнее — маленькое или большое?», «Какой сюрприз понравился больше всего?» ;" Следить за безопасностью (не давать мелкие предметы, если есть риск взять в рот); не подгонять; радоваться вместе с ребёнком его находкам. ";" Подготовить безопасную крупу и не слишком мелкие предметы; объяснить правила (не сыпать себе и другим в лицо); удобно проводить на легко моющейся поверхности. "; Сенсорные игры по развитию осязания (адаптация формата «Сюрприз») ; Педагоги ДОУ, картотеки сенсорных игр ;2023; Картотеки сенсорного воспитания[web:67];Если ребёнок вспоминает что?то неприятное, мягко переключите внимание на нейтральные или приятные темы;;;
14; 2–5 лет ; Творческая, эмоциональная ; Море чувств ; Дать ребенку образный язык для разных состояний и снять напряжение ; Ребенок рисует море и показывает через него свои чувства (шторм, волны, штиль) ; 1. Объясните: «Наши чувства похожи на море: иногда тихое, иногда с волнами». 2. Дайте лист и краски/карандаши. 3. Попросите нарисовать «своё море сегодня». 4. Спросите, где на рисунке спокойствие, а где волны. 5. Обсудите, что помогает морю становиться тише. ; Родитель–ребенок ; «Какое у тебя сегодня море — тихое или с волнами?», «Что делает твое море спокойнее?», «Когда бывает шторм?» ;" Не обесценивать сильные эмоции («ничего страшного»); принимать любой рисунок; задавать вопросы с интересом, а не с целью «перевоспитать». ";" Подготовить материалы для рисования; лучше выбирать момент, когда ребёнок уже немного успокоился после стрессовой ситуации; заранее объяснить метафору моря. "; Арт?терапевтические упражнения для детей 3–5 лет (метафора моря) — адаптация ; Арт?терапевты, материалы по арт?терапии детей ;2023; Описание упражнения «Море чувств»[web:40];"Не используйте игру как проверку послушания; лучше поощрите старания и завершите на позитивной ноте";;;
15; 2–5 лет ; Ролевая, на привязанность ; Больничка для игрушек ; Снизить тревогу и страх перед врачами, развивать заботу ; Ребенок становится «доктором» для своих игрушек, взрослый помогает проговаривать чувства и процедуры ; 1. Предложите: «Давай поиграем в больничку для игрушек». 2. Выберите «пациентов» — мягкие игрушки. 3. Ребенок «осматривает» игрушку (слушает, меряет температуру). 4. Взрослый озвучивает за игрушку её страхи и вопросы. 5. Вместе находите способы успокоить игрушку (объятие, объяснение, что будет). ; Родитель–ребенок ; «Чего больше всего боится наша игрушка?», «Что ей помогает успокоиться?», «Когда тебе самому бывает страшно у врача?» ;" Не обесценивать страх («это глупости») — признавать его; говорить спокойно, без драматизации; давать ребенку роль того, кто помогает и заботится. ";" Подготовить игрушки и простые «инструменты» (игрушечный стетоскоп, ложка как градусник); не играть прямо перед реальным болезненным визитом, лучше заранее. "; Сюжетно?ролевые игры про больницу как способ снижения тревоги (адаптация) ; Психологи, игровые методики по работе со страхами ; 2019–2025 ; Материалы о работе со страхами у детей[web:18][web:30];"Не обсуждайте в игре проступки ребёнка; отделяйте игру от воспитательных разговоров и наказаний";;;
16; 2–5 лет ; Подвижная, эмоциональная ; Воздушный шарик ; Помочь ребенку через образ отпускать напряжение и успокаиваться ; Ребенок представляет свою злость/страх как шарик и «выпускает» воздух, дыша медленно ; 1. Скажите: «Представь, что в животике живёт воздушный шарик». 2. Попросите надуть его — медленно вдохнуть носом, живот вперёд. 3. Потом «выпустить воздух» — медленный выдох ртом. 4. Повторите 5–7 раз, можно поднимать руки вверх на вдохе и опускать на выдохе. ; Родитель–ребенок ; «Как чувствует себя твой шарик сейчас — надутый или спокойный?», «Стало ли внутри немного легче?» ;" Делать вместе с ребёнком, показывая на себе; не требовать идеальной техники; не использовать как наказание («иди подыши»), а как поддержку. ";" Спокойное место, лучше сидя или стоя; объяснить игру заранее, не в пик истерики; можно использовать реальный шарик как образ. "; Психологические игры с дыханием и образом воздушного шарика (адаптация) ; Детские психологи, упражнения для саморегуляции ; 2021–2024 ; Подборки игр для эмоциональной разгрузки[web:23][web:36];Если ребёнок не хочет выполнять какое?то действие, не настаивайте, предложите ему выбрать, что делать по?другому;;;
17; 2–5 лет ; Сенсорная, коммуникативная ; Кто это? ; Развивать доверие, тактильность и чувство «своих» ; Ребенок с закрытыми глазами угадывает, кто его тронул или обнял ; 1. Посадите ребёнка и мягко завяжите глаза (или просто попросите закрыть). 2. Один из родных (мама, папа, брат/сестра) легко дотрагивается до плеча или обнимает. 3. Ребенок пытается угадать: «Кто это?» 4. Меняйтесь участниками. ; Семья, группа ; «Как тебе, когда тебя обнимают и ты не знаешь, кто?», «Чьи объятия ты узнаешь легче всего?» ;" Следить, чтобы прикосновения были мягкими и безопасными; не пугать громкими звуками; если ребёнку тревожно, можно сначала играть только с одним взрослым. ";" Играть только с людьми, к которым ребёнок уже привык; проговорить, что никто не будет пугать; лучше в спокойной домашней обстановке. "; Сенсорные и доверительные игры для семейного взаимодействия (адаптация) ; Семейные психологи, статьи об играх на доверие ;2024; Сенсорные игры и игры на сплочение семьи[web:31][web:60];"Относитесь к фантазиям с интересом и юмором; не поправляйте ребёнка, что «так не бывает»";;;
18; 2–5 лет ; Ролевая, коммуникативная ; Магазин эмоций ; Научить различать желания и чувства, тренировать просьбы ; Ребенок «покупает» эмоции или качества в воображаемом магазине, озвучивая, что ему нужно ; 1. Скажите: «У нас открылся магазин эмоций и качеств». 2. Разложите карточки/картинки с разными эмоциями или словами («смелость», «спокойствие», «радость»). 3. Предложите ребенку выбрать, что он хочет «купить». 4. Спросите: «Зачем тебе это? Где ты будешь это использовать?» ; Родитель–ребенок ; «Какую эмоцию ты бы купил первой?», «От какой хотел бы иногда отдыхать?», «Где тебе нужна смелость/спокойствие?» ;" Не навязывать, что именно «надо» купить; интересно слушать, не исправлять; помогать словами, если ребёнку сложно сформулировать, но не подменять его ответ. ";" Подготовить карточки или просто проговаривать варианты вслух; выбрать спокойный момент; объяснить образ «магазина», где можно пробовать и выбирать. "; Психологические игры на развитие эмоционального словаря и самопонимания (адаптация) ; Детские психологи, материалы по EQ ; 2021–2025 ; Статьи и подборки игр про эмоции[web:23][web:26][web:65];"Избегайте страшных персонажей и сюжетов; выбирайте добрые и понятные образы, чтобы ребёнок чувствовал себя в безопасности";;;
19; 2–5 лет ; Когнитивная, эмоциональная ; Что за звук? ; Развивать слуховое внимание и интерес к миру, переключая с гаджетов ; Ребенок угадывает по звуку, что делает взрослый, и обсуждает, нравится ли ему этот звук ; 1. Посадите ребёнка спиной или закройте глаза. 2. Создавайте звуки (стук ложкой по кастрюле, шуршание бумагой, капли воды, хлопок в ладоши). 3. Ребенок угадывает, что это. 4. Обсудите, приятный или неприятный звук, на что он похож. ; Родитель–ребенок, группа ; «Какой звук понравился?», «Какой не понравился?», «На что он похож?» ;" Делать звуки не слишком громкими, чтобы не пугать; радоваться попыткам угадать; не критиковать за ошибки. ";" Подготовить несколько простых предметов; выбрать тихую комнату; объяснить, что это «игра в уши», которая тренирует слушать. "; Сенсорные игры на развитие слуха (адаптация формата «Что за звук?») ; Педагоги и психологи раннего возраста ;2024; Подборки сенсорных игр[web:31];"Не задавайте много подряд вопросов, чтобы не утомлять; делайте игру короткой и завершайте, пока ребёнку ещё интересно";;;
20; 2–5 лет ; Эмоциональная, на привязанность ; Карманчик для секретов ; Укреплять доверие и чувство, что взрослый доступен эмоционально ; Ребенок может «складывать» свои переживания в воображаемый карман взрослого или небольшой конверт ; 1. Объясните: «У меня есть специальный карман для твоих секретов и чувств». 2. Покажите реальный карман/конверт или обозначьте воображаемый на груди. 3. Предложите ребенку «положить» туда то, что его тревожит (словами, рисунком или жестом). 4. Скажите, что взрослый бережно это хранит и всегда готов обсудить. ; Родитель–ребенок ; «Что ты сегодня положил бы в мой карман?», «Хочешь ли ты, чтобы я иногда напоминал(а) тебе про этот карман?» ;" Быть готовым реально выдерживать доверенные секреты (в пределах безопасности); не высмеивать то, что ребенок «кладёт» в карман; возвращаться к этому образу в сложные моменты. ";" Лучше вводить игру в спокойный период, а не на пике конфликта; можно сделать реальный конверт/кармашек с рисунком ребенка; подчеркнуть, что пользоваться им можно в любой момент. "; Игровые метафоры в детско?родительской психотерапии (адаптация) ; Детские и семейные психологи (обобщенные подходы) ; 2020–2025 ; Практики по работе с привязанностью и доверием[web:54][web:56];Если у ребёнка меняется настроение, не пытайтесь «доиграть до конца» — лучше остановиться и вернуться к игре в другой раз;;;
21; 2–5 лет ; Подвижная, эмоциональная ; Дождик и солнышко ; Помочь ребенку переключаться между напряжением и расслаблением ; Ребенок по сигналу «дождик» сжимается в комочек, по сигналу «солнышко» расправляется и тянется ; 1. Объясните: «Когда дождик — мы как маленькие комочки, когда солнышко — распускаемся». 2. По сигналу «дождик» попросите присесть, обнять себя, голову опустить. 3. По сигналу «солнышко» — встать, расправить плечи, потянуться вверх. 4. Повторите несколько циклов, меняя темп. ; Родитель–ребенок, группа ; «Где тебе приятнее — когда дождик или когда солнышко?», «Что помогает тебе внутри чувствовать солнышко?» ;" Делать движения мягко, не форсировать; следить, чтобы ребенку комфортно физически; сопровождать игрой голосом, а не командами. ";" Лучше проводить в просторном месте; можно включить спокойную музыку; объяснить заранее, что это игра про тело и настроение. "; Подвижные психологические игры для дошкольников (адаптация образа «дождик–солнышко») ; Педагоги?психологи ДОУ ; 2020–2024 ; Подборки игр для снятия напряжения[web:65];" Следите, чтобы игра не превращалась в соревнование; хвалите за участие, а не за «лучший результат»";;;
22; 2–5 лет ; Эмоциональная, когнитивная ; Чемодан радостей ; Формировать навык замечать приятные события, поддерживать ресурсное состояние ; Ребенок «складывает» в воображаемый чемодан все приятные моменты дня ; 1. Покажите коробку/рисунок чемодана. 2. Скажите: «Это наш чемодан радостей, давай сложим туда всё хорошее, что было сегодня». 3. Просите ребенка вспоминать приятные моменты, а вы «кладете» их в чемодан (словами или рисунком). 4. В конце «закройте» чемодан и скажите, что можно в него возвращаться. ; Родитель–ребенок ; «Что первым ты положил в чемодан?», «К чему из этого хочешь вернуться завтра?» ;" Помогать вспоминать, но не подменять его голос; не вставлять мораль («вот видишь, всё не так уж плохо»), а просто отмечать; радоваться вместе. ";" Лучше в конце дня, перед сном; можно сделать реальный «чемодан» из коробки; заранее объяснить идею «собирать радости». "; Игры на развитие позитивного мышления и эмоционального интеллекта (адаптация) ; Психологи, авторы материалов по EQ ; 2021–2025 ; Статьи об играх, развивающих благодарность и радость[web:25][web:29];Если ребёнок теряется или стесняется, мягко подсказывайте и показывайте на своём примере, не торопя его;;;
